Reference, Value, Footprint, Datasheet
TP19,CONN_1,MyModules:TEST_POINT_LOOP_4592,
ISP1,CONN_02X03,synth:CONN-2X3-0100R,
Y1,16MHz,synth:403-XTAL-4-SMD,
C182,24p,MyModules:SM0603-C-JRL,
C183,24p,MyModules:SM0603-C-JRL,
IC2,AT24CS64-XHM,MyModules:TSSOP8-JRL,
R393,220,MyModules:SM0603-R-JRL,
U29,74HC165,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,
C176,0.1µ,MyModules:SM0603-C-JRL,
R399,10K,MyModules:SM0603-R-JRL,
R400,10K,MyModules:SM0603-R-JRL,
R401,10K,MyModules:SM0603-R-JRL,
R402,10K,MyModules:SM0603-R-JRL,
R403,10K,MyModules:SM0603-R-JRL,
R404,10K,MyModules:SM0603-R-JRL,
R405,10K,MyModules:SM0603-R-JRL,
R406,10K,MyModules:SM0603-R-JRL,
U27,74HC165,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,
C173,0.1µ,MyModules:SM0603-C-JRL,
R385,10K,MyModules:SM0603-R-JRL,
R386,10K,MyModules:SM0603-R-JRL,
R387,10K,MyModules:SM0603-R-JRL,
R388,10K,MyModules:SM0603-R-JRL,
R391,10K,MyModules:SM0603-R-JRL,
R389,10K,MyModules:SM0603-R-JRL,
R390,10K,MyModules:SM0603-R-JRL,
R392,10K,MyModules:SM0603-R-JRL,
SW7,INST_AC_1,MyModules:KS-01Q-02-SPST,
SW8,INST_BD_2,MyModules:KS-01Q-02-SPST,
SW9,INST_SD_3,MyModules:KS-01Q-02-SPST,
SW13,INST_LT_4,MyModules:KS-01Q-02-SPST,
SW14,INST_MT_5,MyModules:KS-01Q-02-SPST,
SW15,INST_HT_6,MyModules:KS-01Q-02-SPST,
SW16,INST_RS_7,MyModules:KS-01Q-02-SPST,
SW17,INST_CP_8,MyModules:KS-01Q-02-SPST,
SW18,INST_CB_9,MyModules:KS-01Q-02-SPST,
SW19,INST_CY_10,MyModules:KS-01Q-02-SPST,
SW20,INST_OH_11,MyModules:KS-01Q-02-SPST,
SW10,INST_CH_12,MyModules:KS-01Q-02-SPST,
SW11,SHIFT,MyModules:KS-01Q-02-SPST,
R407,10K,MyModules:SM0603-R-JRL,
C180,0.1µ,MyModules:SM0603-C-JRL,
U30,74AC595,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,
C181,0.1µ,MyModules:SM0603-C-JRL,
U31,74AC595,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,
X1,MIDI IN,MyModules:SD-50BV-5DIN,
R394,220,MyModules:SM0603-R-JRL,
R384,22,MyModules:SM0603-R-JRL,
C172,0.01µ,MyModules:SM0603-C-JRL,
SW1,2P3T,MyModules:SS-23E02-2P3T-SLIDE,
R449,10K,MyModules:SM0603-R-JRL,
SW21,START/STOP,MyModules:CHERRY-MX,
R450,10K,MyModules:SM0603-R-JRL,
SW22,TAP,MyModules:CHERRY-MX,
C187,0.1µ,MyModules:SM0603-C-JRL,
R431,1K,MyModules:SM0603-R-JRL,
R409,1K,MyModules:SM0603-R-JRL,
IC1,ATMEGA328PB,Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm,
R432,10K,MyModules:SM0603-R-JRL,
R435,470,MyModules:SM0603-R-JRL,
R434,470,MyModules:SM0603-R-JRL,
R438,470,MyModules:SM0603-R-JRL,
R437,470,MyModules:SM0603-R-JRL,
R436,470,MyModules:SM0603-R-JRL,
R433,470,MyModules:SM0603-R-JRL,
R439,470,MyModules:SM0603-R-JRL,
R440,470,MyModules:SM0603-R-JRL,
C190,0.1µ,MyModules:SM0603-C-JRL,
U36,74AC595,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,
R441,470,MyModules:SM0603-R-JRL,
R442,470,MyModules:SM0603-R-JRL,
R443,470,MyModules:SM0603-R-JRL,
R444,470,MyModules:SM0603-R-JRL,
R446,470,MyModules:SM0603-R-JRL,
R445,470,MyModules:SM0603-R-JRL,
C191,0.1µ,MyModules:SM0603-C-JRL,
U37,74AC595,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,
D28,2ND_PART,MyModules:3MM-LED-C1A2,
D27,1ST_PART,MyModules:3MM-LED-C1A2,
D26,FILL6,MyModules:3MM-LED-C1A2,
D25,FILL5,MyModules:3MM-LED-C1A2,
D24,FILL4,MyModules:3MM-LED-C1A2,
D23,FILL3,MyModules:3MM-LED-C1A2,
D22,FILL2,MyModules:3MM-LED-C1A2,
D16,FILL1,MyModules:3MM-LED-C1A2,
D21,MODE6,MyModules:3MM-LED-C1A2,
D20,MODE5,MyModules:3MM-LED-C1A2,
D19,MODE4,MyModules:3MM-LED-C1A2,
D18,MODE3,MyModules:3MM-LED-C1A2,
D17,MODE2,MyModules:3MM-LED-C1A2,
D36,MODE1,MyModules:3MM-LED-C1A2,
R408,10K,MyModules:SM0603-R-JRL,
R412,470,MyModules:SM0603-R-JRL,
R411,470,MyModules:SM0603-R-JRL,
R415,470,MyModules:SM0603-R-JRL,
R414,470,MyModules:SM0603-R-JRL,
R413,470,MyModules:SM0603-R-JRL,
R410,470,MyModules:SM0603-R-JRL,
C184,0.1µ,MyModules:SM0603-C-JRL,
U32,74AC595,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,
R416,470,MyModules:SM0603-R-JRL,
R417,470,MyModules:SM0603-R-JRL,
R418,470,MyModules:SM0603-R-JRL,
R419,470,MyModules:SM0603-R-JRL,
R423,470,MyModules:SM0603-R-JRL,
R422,470,MyModules:SM0603-R-JRL,
R421,470,MyModules:SM0603-R-JRL,
R420,470,MyModules:SM0603-R-JRL,
C185,0.1µ,MyModules:SM0603-C-JRL,
U33,74AC595,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,
D40,SCALE4,MyModules:3MM-LED-C1A2,
D39,SCALE3,MyModules:3MM-LED-C1A2,
D38,SCALE2,MyModules:3MM-LED-C1A2,
D37,SCALE1,MyModules:3MM-LED-C1A2,
D33,CH,MyModules:3MM-LED-C1A2,
D32,OH,MyModules:3MM-LED-C1A2,
D31,CY,MyModules:3MM-LED-C1A2,
D30,CB,MyModules:3MM-LED-C1A2,
D51,CP,MyModules:3MM-LED-C1A2,
D49,RS,MyModules:3MM-LED-C1A2,
D47,HT,MyModules:3MM-LED-C1A2,
D45,MT,MyModules:3MM-LED-C1A2,
D43,LT,MyModules:3MM-LED-C1A2,
D42,SD,MyModules:3MM-LED-C1A2,
D41,BD,MyModules:3MM-LED-C1A2,
D72,ACCENT,MyModules:3MM-LED-C1A2,
VR18,10K,MyModules:RD901F-ALPHA-POT,
L1,10µ,MyModules:SM0805-HAND,
C179,0.1µ,MyModules:SM0603-C-JRL,
C177,0.1µ,MyModules:SM0603-C-JRL,
C178,0.1µ,MyModules:SM0603-C-JRL,
U28,74HC165,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,
C174,0.1µ,MyModules:SM0603-C-JRL,
R395,10K,MyModules:SM0603-R-JRL,
R396,10K,MyModules:SM0603-R-JRL,
R397,10K,MyModules:SM0603-R-JRL,
TP15,CONN_1,MyModules:TEST_POINT_LOOP_4592,
SW5,FILL,MyModules:KS-01Q-02-SPST,
TP17,CONN_1,MyModules:TEST_POINT_LOOP_4592,
D44,LC,MyModules:3MM-LED-C1A2,
D48,HC,MyModules:3MM-LED-C1A2,
D46,MC,MyModules:3MM-LED-C1A2,
D50,CL,MyModules:3MM-LED-C1A2,
D29,MA,MyModules:3MM-LED-C1A2,
R424,470,MyModules:SM0603-R-JRL,
R425,470,MyModules:SM0603-R-JRL,
R426,470,MyModules:SM0603-R-JRL,
R427,470,MyModules:SM0603-R-JRL,
R428,470,MyModules:SM0603-R-JRL,
C186,0.1µ,MyModules:SM0603-C-JRL,
U34,74AC595,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,
R448,470,MyModules:SM0603-R-JRL,
R447,470,MyModules:SM0603-R-JRL,
SW12,IF_VAR,MyModules:B3F-1050-OMRON,
D34,IF_VAR_A,MyModules:3MM-LED-C1A2,
R429,470,MyModules:SM0603-R-JRL,
D35,IF_VAR_B,MyModules:3MM-LED-C1A2,
R430,470,MyModules:SM0603-R-JRL,
SW2,BASIC_VAR_A,MyModules:B3F-1050-OMRON,
SW3,BASIC_VAR_B,MyModules:B3F-1050-OMRON,
SW6,CLEAR,MyModules:B3F-1050-OMRON,
SW4,MODE,MyModules:KS-01Q-02-SPST,
D96,BASIC_VAR_A,MyModules:3MM-LED-C1A2,
R264,470,MyModules:SM0603-R-JRL,
D95,BASIC_VAR_B,MyModules:3MM-LED-C1A2,
R101,470,MyModules:SM0603-R-JRL,
